,areaQ1,areaQ2,areaQ3,areaQ4,blobs,diagnostic,distanceQ1,distanceQ2,distanceQ3,distanceQ4,horizontalDiagQ1,horizontalDiagQ2,horizontalDiagQ3,horizontalDiagQ4,perimeterQ1,perimeterQ2,perimeterQ3,perimeterQ4,verticalDiagQ1,verticalDiagQ2,verticalDiagQ3,verticalDiagQ4
32,24.0,18.5,0.0,0.0,2.0,P,45.254833995939045,44.598206241955516,0.0,0.0,5.0990195135927845,7.0710678118654755,0.0,0.0,19.656854152679443,17.071067690849304,0.0,0.0,6.324555320336759,5.830951894845301,0.0,0.0
33,0.0,77.5,0.0,0.0,1.0,P,0.0,41.036569057366385,0.0,0.0,0.0,11.045361017187261,0.0,0.0,0.0,35.21320307254791,0.0,0.0,0.0,11.180339887498949,0.0,0.0
34,43.0,0.0,0.0,0.0,1.0,P,43.840620433565945,0.0,0.0,0.0,8.06225774829855,0.0,0.0,0.0,24.14213538169861,0.0,0.0,0.0,7.0710678118654755,0.0,0.0,0.0
35,31.0,16.5,0.0,0.0,2.0,P,44.553338819890925,44.553338819890925,0.0,0.0,7.0,7.0710678118654755,0.0,0.0,21.313708305358887,17.071067690849304,0.0,0.0,6.324555320336759,5.830951894845301,0.0,0.0
36,0.0,71.0,0.0,0.0,1.0,P,0.0,41.773197148410844,0.0,0.0,0.0,10.04987562112089,0.0,0.0,0.0,31.79898953437805,0.0,0.0,0.0,10.198039027185569,0.0,0.0
37,40.0,0.0,0.0,0.0,1.0,P,44.553338819890925,0.0,0.0,0.0,7.0710678118654755,0.0,0.0,0.0,24.14213538169861,0.0,0.0,0.0,8.06225774829855,0.0,0.0,0.0
38,23.0,13.0,0.0,0.0,2.0,P,45.967379738244816,44.68780594300866,0.0,0.0,6.0,5.385164807134504,0.0,0.0,19.656854152679443,14.828427076339722,0.0,0.0,5.385164807134504,3.1622776601683795,0.0,0.0
39,8.5,140.0,68.5,51.5,4.0,P,45.967379738244816,38.897300677553446,41.773197148410844,40.311288741492746,3.605551275463989,17.029386365926403,10.198039027185569,9.219544457292887,11.41421353816986,55.11269783973694,35.55634891986847,28.727921843528748,3.1622776601683795,17.11724276862369,11.180339887498949,8.06225774829855
40,8.5,57.0,26.0,0.0,3.0,P,46.010868281309364,42.44997055358225,43.86342439892262,0.0,3.605551275463989,9.486832980505138,7.810249675906654,0.0,11.41421353816986,28.97056245803833,20.485281229019165,0.0,3.0,9.0,6.708203932499369,0.0
41,14.0,4.0,75.0,45.5,4.0,P,45.967379738244816,45.27692569068709,41.036569057366385,41.012193308819754,4.47213595499958,2.8284271247461903,11.045361017187261,8.54400374531753,14.828427076339722,8.0,33.79898953437805,25.899494767189026,4.47213595499958,2.0,10.04987562112089,7.0710678118654755
42,23.0,85.0,66.0,66.0,4.0,P,45.27692569068709,41.036569057366385,41.036569057366385,40.311288741492746,7.0710678118654755,11.045361017187261,10.04987562112089,10.770329614269007,21.656854152679443,34.62741661071777,30.97056245803833,30.97056245803833,5.385164807134504,11.180339887498949,9.219544457292887,9.055385138137417
43,17.5,39.0,24.5,0.0,3.0,P,45.967379738244816,43.139309220245984,43.86342439892262,0.0,6.324555320336759,8.06225774829855,8.06225774829855,0.0,21.071067690849304,25.313708305358887,23.071067690849304,0.0,7.211102550927978,8.06225774829855,5.385164807134504,0.0
44,62.0,25.0,8.0,0.0,3.0,P,43.840620433565945,44.598206241955516,44.553338819890925,0.0,9.219544457292887,8.06225774829855,4.242640687119285,0.0,30.14213538169861,21.656854152679443,10.828427076339722,0.0,9.0,5.385164807134504,3.1622776601683795,0.0
45,31.0,27.0,40.0,47.5,4.0,P,45.254833995939045,43.86342439892262,43.18564576337837,41.012193308819754,6.082762530298219,8.94427190999916,8.06225774829855,8.246211251235321,22.485281229019165,22.485281229019165,27.313708305358887,26.727921843528748,7.615773105863909,5.830951894845301,8.0,8.0
46,19.5,0.0,0.0,0.0,1.0,P,45.967379738244816,0.0,0.0,0.0,7.0710678118654755,0.0,0.0,0.0,21.071067690849304,0.0,0.0,0.0,6.4031242374328485,0.0,0.0,0.0
47,0.0,10.0,38.5,0.0,2.0,P,0.0,44.598206241955516,43.139309220245984,0.0,0.0,5.0,8.54400374531753,0.0,0.0,12.828427076339722,23.899494767189026,0.0,0.0,3.605551275463989,6.082762530298219,0.0
48,24.0,51.5,44.5,31.5,4.0,P,45.254833995939045,43.139309220245984,42.44997055358225,41.72529209005013,6.082762530298219,8.94427190999916,8.54400374531753,7.0710678118654755,21.656854152679443,27.55634891986847,25.899494767189026,21.899494767189026,6.708203932499369,9.055385138137417,7.0710678118654755,6.082762530298219
49,96.5,0.0,43.0,0.0,2.0,P,41.72529209005013,0.0,43.139309220245984,0.0,13.601470508735444,0.0,9.219544457292887,0.0,38.870057225227356,0.0,26.14213538169861,0.0,12.165525060596439,0.0,7.280109889280518,0.0
50,0.0,9.0,30.0,58.5,3.0,P,0.0,45.254833995939045,43.18564576337837,41.012193308819754,0.0,5.656854249492381,7.211102550927978,9.486832980505138,0.0,14.828427076339722,20.485281229019165,29.55634891986847,0.0,4.47213595499958,6.082762530298219,9.055385138137417
51,43.0,39.0,92.5,61.5,4.0,P,38.2099463490856,41.036569057366385,38.948684188300895,39.59797974644666,9.219544457292887,8.246211251235321,11.0,10.770329614269007,26.485281229019165,25.313708305358887,37.21320307254791,30.727921843528748,6.0,7.0,12.649110640673518,8.06225774829855
52,0.0,28.0,33.0,110.5,3.0,P,0.0,43.86342439892262,41.773197148410844,37.48332962798263,0.0,8.06225774829855,7.211102550927978,14.866068747318506,0.0,21.313708305358887,22.485281229019165,46.041630148887634,0.0,6.708203932499369,7.0710678118654755,14.317821063276353
53,0.0,0.0,0.0,24.5,1.0,P,0.0,0.0,0.0,43.139309220245984,0.0,0.0,0.0,5.385164807134504,0.0,0.0,0.0,19.071067690849304,0.0,0.0,0.0,6.082762530298219
54,85.5,14.0,46.5,74.5,4.0,P,41.012193308819754,43.86342439892262,43.18564576337837,36.069377593742864,12.649110640673518,5.656854249492381,8.54400374531753,12.083045973594572,37.21320307254791,14.828427076339722,26.727921843528748,35.55634891986847,11.40175425099138,4.47213595499958,8.06225774829855,10.44030650891055
55,43.0,103.5,52.0,14.5,4.0,P,43.139309220245984,39.698866482558415,41.72529209005013,43.139309220245984,8.06225774829855,16.0,8.246211251235321,7.0710678118654755,26.485281229019165,45.21320307254791,27.313708305358887,24.242640614509583,8.06225774829855,11.045361017187261,8.06225774829855,6.708203932499369
