,areaQ1,areaQ2,areaQ3,areaQ4,blobs,contourEdgesQ1,contourEdgesQ2,contourEdgesQ3,contourEdgesQ4,diagnostic,distanceQ1,distanceQ2,distanceQ3,distanceQ4,marker,perimeterQ1,perimeterQ2,perimeterQ3,perimeterQ4
908,0.0,10.5,0.0,24.0,2.0,0.0,4.0,0.0,6.0,P,-1.0,45.254833995939045,-1.0,45.254833995939045,RV1681,0.0,15.899494767189026,0.0,20.485280990600586
909,27.0,0.0,46.5,52.5,3.0,6.0,0.0,6.0,6.0,P,43.840620433565945,-1.0,42.44997055358225,42.42640687119285,ESAT6,21.313708305358887,0.0,31.55634868144989,28.727921843528748
910,11.5,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,P,45.254833995939045,-1.0,-1.0,-1.0,CFP10,17.071067571640015,0.0,0.0,0.0
911,14.5,0.0,16.0,0.0,2.0,4.0,0.0,7.0,0.0,P,44.553338819890925,-1.0,43.86342439892262,-1.0,RV1681,16.242640614509583,0.0,15.656854152679443,0.0
912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,ESAT6,0.0,0.0,0.0,0.0
913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
914,0.0,24.5,0.0,0.0,1.0,0.0,6.0,0.0,0.0,P,-1.0,43.840620433565945,-1.0,-1.0,RV1681,0.0,19.899494767189026,0.0,0.0
915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,ESAT6,0.0,0.0,0.0,0.0
916,0.0,49.5,0.0,0.0,1.0,0.0,4.0,0.0,0.0,P,-1.0,42.42640687119285,-1.0,-1.0,CFP10,0.0,27.213202834129333,0.0,0.0
917,72.5,9.0,0.0,3.0,3.0,4.0,4.0,0.0,6.0,P,40.311288741492746,44.553338819890925,-1.0,45.967379738244816,RV1681,34.041629910469055,16.485281229019165,0.0,6.828427076339722
918,34.0,10.5,0.0,133.0,3.0,4.0,5.0,0.0,5.0,P,43.18564576337837,45.967379738244816,-1.0,38.897300677553446,ESAT6,28.485281229019165,19.071067690849304,0.0,52.76955223083496
919,7.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,P,45.34313619501854,-1.0,-1.0,-1.0,CFP10,11.656854152679443,0.0,0.0,0.0
920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,RV1681,0.0,0.0,0.0,0.0
921,0.0,8.5,13.5,0.0,2.0,0.0,7.0,4.0,0.0,P,-1.0,45.27692569068709,44.553338819890925,-1.0,ESAT6,0.0,14.242640614509583,15.071067571640015,0.0
922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
923,0.0,9.5,3.0,0.0,2.0,0.0,5.0,6.0,0.0,P,-1.0,43.86342439892262,43.86342439892262,-1.0,RV1681,0.0,12.242640614509583,6.828427076339722,0.0
924,0.0,3.5,0.0,0.0,1.0,0.0,5.0,0.0,0.0,N,-1.0,44.68780594300866,-1.0,-1.0,ESAT6,0.0,7.414213538169861,0.0,0.0
925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
926,45.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,N,42.44997055358225,-1.0,-1.0,-1.0,RV1681,28.142135500907898,0.0,0.0,0.0
927,16.5,28.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,N,43.840620433565945,44.553338819890925,-1.0,-1.0,ESAT6,19.071067690849304,21.313708305358887,0.0,0.0
928,12.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,N,45.254833995939045,-1.0,-1.0,-1.0,CFP10,15.656854152679443,0.0,0.0,0.0
929,25.5,0.0,0.0,9.5,2.0,4.0,0.0,0.0,6.0,N,43.840620433565945,-1.0,-1.0,44.553338819890925,RV1681,21.899494647979736,0.0,0.0,12.242640614509583
930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,ESAT6,0.0,0.0,0.0,0.0
931,0.0,0.0,21.5,0.0,1.0,0.0,0.0,5.0,0.0,P,-1.0,-1.0,44.553338819890925,-1.0,CFP10,0.0,0.0,17.899494647979736,0.0
932,9.0,27.5,0.0,0.0,2.0,5.0,5.0,0.0,0.0,P,44.598206241955516,43.840620433565945,-1.0,-1.0,RV1681,11.656854152679443,21.55634880065918,0.0,0.0
933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,ESAT6,0.0,0.0,0.0,0.0
934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
935,0.0,27.5,0.0,3.5,2.0,0.0,5.0,0.0,5.0,P,-1.0,43.840620433565945,-1.0,44.598206241955516,RV1681,0.0,20.727921843528748,0.0,7.414213538169861
936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,ESAT6,0.0,0.0,0.0,0.0
